ID,Type,SKU,Name,Published,Is featured?,Visibility,Short description,Description,Regular price,Sale price,Manage stock?,Stock quantity,Stock status,Weight (kg),Dimensions,Categories,Tags,Images
1,simple,ELEC-001,Wireless Bluetooth Earbuds,1,1,visible,High-quality wireless earbuds with charging case,"Premium wireless earbuds with active noise cancellation, 20-hour battery life, and crystal clear sound.",799,699,1,100,instock,0.1,"10x8x4",Electronics,Bluetooth,Audio,https://example.com/images/earbuds.jpg
2,simple,ELEC-002,USB-C Fast Charger 65W,1,0,visible,Universal fast charger for laptops and phones,"65W USB-C charger compatible with MacBook, iPad, Samsung, and all Type-C devices.",1299,999,1,150,instock,0.2,"8x6x3",Electronics,Charger,USB,https://example.com/images/charger.jpg
3,simple,ELEC-003,Portable Power Bank 20000mAh,1,0,visible,High capacity power bank with fast charging,"20000mAh power bank with 22.5W fast charging, dual USB output, LED display.",1599,1299,1,80,instock,0.4,"15x7x2",Electronics,Power Bank,Charger,https://example.com/images/powerbank.jpg
4,simple,ELEC-004,Smart Watch with Heart Rate Monitor,1,1,visible,Fitness tracking smartwatch,"1.3 inch AMOLED display, heart rate monitor, step counter, sleep tracking, 7-day battery.",2999,2499,1,50,instock,0.15,"4.5x4.5x1.2",Electronics,Smart Watch,Fitness,https://example.com/images/smartwatch.jpg
5,simple,CLTH-001,Cotton T-Shirt (Men) - White,1,0,visible,Premium cotton t-shirt,"100% organic cotton t-shirt, regular fit, breathable fabric. Available in all sizes.",599,449,1,200,instock,0.2,"30x25x1",Clothing,T-Shirt,Cotton,https://example.com/images/tshirt.jpg
6,simple,CLTH-002,Slim Fit Jeans (Men) - Blue,1,0,visible,Premium denim jeans,"Stretchable slim fit jeans, fade wash, metal buttons. Size 28-40.",1899,1499,1,100,instock,0.6,"35x30x3",Clothing,Jeans,Denim,https://example.com/images/jeans.jpg
7,simple,CLTH-003,Kurti for Women - Floral Print,1,1,visible,Elegant cotton kurti,"Anarkali style kurti with floral print, matching dupatta. Free size.",1299,999,1,75,instock,0.3,"40x30x2",Clothing,Kurti,Women,https://example.com/images/kurti.jpg
8,simple,CLTH-004,Kids Cotton Frock - Pink,1,0,visible,Comfortable cotton frock for girls,"Soft cotton frock with frills, available for ages 2-8 years.",899,699,1,60,instock,0.25,"30x25x2",Clothing,Kids,Frock,https://example.com/images/frock.jpg
9,simple,HOME-001,Double Bedsheet Set - Cotton,1,0,visible,Premium cotton bedsheet set,"150 thread count, 2 pillow covers included. King size (90x100 inches).",1299,999,1,80,instock,1.2,"35x25x5",Home Decor,Bedsheet,Cotton,https://example.com/images/bedsheet.jpg
10,simple,HOME-002,Set of 4 Door Mats - Coir,1,0,visible,Natural coir door mats,"Durable coir mats with rubber backing. Set of 4 different sizes.",999,799,1,50,instock,2.5,"40x30x4",Home Decor,Doormat,Coir,https://example.com/images/doormat.jpg
11,simple,HOME-003,LED Table Lamp - USB,1,0,visible,Modern LED desk lamp,"Touch control LED lamp with 3 brightness levels, USB charging port. USB powered.",1499,1199,1,40,instock,0.5,"15x15x35",Home Decor,Lamp,LED,https://example.com/images/table-lamp.jpg
12,simple,HOME-004,Stainless Steel Cookware Set,1,1,visible,7-piece stainless steel cookware,"Induction compatible cookware set: 3 casseroles, 2 frying pans, 2 lids.",4999,3999,1,30,instock,5,"40x30x20",Home,Kitchen,Cookware,https://example.com/images/cookware.jpg
